seed,arm,step,L_total,L_struct,L_LM,p_max_mean,dt_step,dt_struct,dt_lm,dt_grad_total
230,simplex,53,7.7698,7.8561,-0.0863,0.7478,151.72,20.33,15.49,80.02
230,simplex,54,7.7896,7.8758,-0.0863,0.7476,153.53,20.26,15.78,81.54
230,simplex,55,7.7588,7.8453,-0.0865,0.747,153.08,20.4,15.75,80.83
230,simplex,56,7.7795,7.866,-0.0865,0.7469,153.24,20.37,15.98,80.84
230,simplex,57,7.7497,7.8364,-0.0866,0.7463,154.0,20.75,16.22,80.64
230,simplex,58,7.772,7.8587,-0.0867,0.7461,154.07,20.58,15.97,81.03
230,simplex,59,7.7376,7.8244,-0.0868,0.7456,154.49,20.5,16.13,81.39
230,simplex,60,7.7614,7.8483,-0.0869,0.7454,170.02,20.43,15.97,81.35
230,simplex,61,7.7283,7.8153,-0.087,0.7449,154.33,20.61,16.02,80.77
230,simplex,62,7.7534,7.8405,-0.087,0.7446,153.49,20.32,15.76,81.63
230,simplex,63,7.7167,7.8039,-0.0872,0.7442,153.38,20.29,15.93,80.89
230,simplex,64,7.7427,7.83,-0.0872,0.7439,154.08,20.43,15.86,81.12
230,simplex,65,7.7069,7.7942,-0.0873,0.7435,153.25,20.74,15.78,81.27
230,simplex,66,7.7331,7.8205,-0.0874,0.7432,154.81,20.87,15.92,81.73
230,simplex,67,7.6958,7.7833,-0.0875,0.7428,152.68,20.22,15.63,80.97
230,simplex,68,7.7223,7.8099,-0.0876,0.7425,153.45,20.52,15.99,80.65
230,simplex,69,7.684,7.7716,-0.0876,0.742,154.86,20.57,16.29,81.31
230,simplex,70,7.71,7.7977,-0.0877,0.7418,170.92,20.47,16.23,81.86
230,simplex,71,7.6726,7.7604,-0.0878,0.7413,154.38,20.44,15.79,81.3
230,simplex,72,7.6971,7.785,-0.0878,0.741,154.02,20.57,16.1,81.47
230,simplex,73,7.6578,7.7456,-0.0879,0.7406,156.38,20.88,16.28,82.07
230,simplex,74,7.6792,7.7671,-0.0879,0.7403,153.67,21.04,16.13,80.46
